outcome,estimator,estimate,se,ci_low,ci_high,pvalue,n_treated,n_control
log_u5mr,lpdid_att,-0.061783315076869405,0.022782047888560742,-0.10808200680941031,-0.0154846233443285,0.010415745074333405,9,26
log_nmr,lpdid_att,-0.018668097044189032,0.017252826437207415,-0.05373005884141539,0.016393864753037325,0.28685343770548144,9,26
dtp3,lpdid_att,2.743421119620637,2.6421629458912093,-2.626100019889502,8.112942259130776,0.30644746867893646,9,26
mcv1,lpdid_att,1.5999490883172227,2.6362677172019016,-3.757591505057899,6.957489681692344,0.5479493952380192,9,26
