iso3,outcome,pre_rmspe,post_rmspe,att_headline,att_full,gap_2002,gap_2003,gap_2004,gap_2005,gap_2006,gap_2007,gap_2008,gap_2009,gap_2010,gap_2011,gap_2012,gap_2013,gap_2014,gap_2015,gap_2016,gap_2017,gap_2018,gap_2019
AGO,log_mmr,0.00453049571380957,0.3312933337119106,-0.033311174434051516,-0.26334072431484323,-0.002993042077488184,0.009669587639508315,0.0010719475853013805,-0.0075012201701758485,-0.00018052515202171548,0.0018908784824702707,0.0005138553399106627,-0.0006741450612484101,0.03589334148095791,0.02789959678642351,-0.04505649949971424,-0.15198113650387324,-0.28766565310814496,-0.3787271119240758,-0.4136256863125798,-0.4942266792018408,-0.45389905834409383,-0.4720183565214908
AGO,log_u5mr,0.0019789331012678587,0.048556210327100384,-0.046458985224403726,-0.014329427751700763,0.00040456048415471457,0.0006726388581892451,-0.0009932983626024239,0.0028370518253577615,-0.0027363529257184993,0.003512778177587883,0.0008337974180667729,-0.0010748659661317106,-0.025153211241463858,-0.04385023265868071,-0.060024231189752086,-0.05680826580771825,-0.055022083419715706,-0.05049443746477955,-0.002673581613407805,0.0246646264034327,0.05791645440723281,0.06815068506784483
CIV,log_mmr,0.004652358925249727,0.198466435098492,-0.036819301070512234,0.13124597687606593,-0.0029281549460309364,0.011536694109299361,-0.004465705124059305,0.0004905906140901806,0.001952977803723499,-0.0019776632840775576,-0.0014962171418035908,0.0011571537007517563,-0.02250805961084623,-0.08057609778038799,-0.05681424983202721,0.012621202941212495,0.109616757625564,0.20112888736292334,0.27930237870839303,0.2983385512365677,0.26570055164441087,0.30564984646484916
CIV,log_u5mr,0.000554552796023272,0.03631536832368537,-0.014453087582043667,-0.03243591872795344,-0.00010519435601263893,8.754637537489174e-05,4.537578242835849e-05,0.00019952467615791392,-0.00016966434844700728,0.0011291199843626032,-0.000943251937931322,0.00045410241309706834,-0.001976667413755351,-0.011027640461075627,-0.021232657063086968,-0.02357538539025672,-0.03479831383559251,-0.054822497340537346,-0.04265487171480675,-0.04224556917791045,-0.04672341937504143,-0.04530216550747124
CMR,log_mmr,0.0050782773920952295,0.1910737885735507,-0.09699058143587402,-0.17473616391942598,-0.006948534131216988,-0.0038862328779831756,0.003756401039064272,0.001610294444980731,0.00408999943619115,0.005951247233254797,0.005909839867867639,-0.006257078740506294,-0.020205332388989916,-0.0487289070668222,-0.13479065746919439,-0.1842374288184896,-0.2117066677099091,-0.20896393111939915,-0.21160160647950388,-0.22637500774622943,-0.23783893021130975,-0.2629131701844125
CMR,log_u5mr,0.00017038041307213935,0.05959340484042523,-0.018251980294227366,-0.05176965399309541,-0.0002482567869996899,0.0003521488334481404,3.926381429320003e-05,-1.3616853031805931e-06,0.00011239585429301258,1.5852975822738813e-05,-0.00016596761238130142,6.799083404995798e-05,-0.004891345384115731,-0.011485637533259485,-0.02277265973499265,-0.033858278524541596,-0.0533834698761213,-0.07587514910576765,-0.06870481953360663,-0.07640201685420323,-0.08173570133181673,-0.0885874620525291
COD,log_mmr,0.014435907021641232,0.07002502085205074,-0.018831588718070558,-0.05754554662249607,-0.01587048713160133,-0.013060790609028317,-0.0023306262046487447,0.02127637199189536,-0.005855861574241672,0.017327207384452592,0.016329948605732447,-0.013616181680004225,-0.02760501994828246,-0.018735482834743244,-0.011768045124123994,-0.01721780696513253,-0.03669393177931024,-0.08418952909914346,-0.12507464936407242,-0.11414171886910829,-0.08699431964224313,-0.05303496259880092
COD,log_u5mr,0.056344873102798995,0.2665015877843483,0.1494268587489067,0.2488878207655995,0.017841318067433498,0.04114050783482526,0.07032808712510441,-0.100925351253502,-0.06541890657770821,-0.02573685544625981,0.015384226546012236,0.05546570046119381,0.09240600815229882,0.13052245473221458,0.16968045999217285,0.2050985121189406,0.23492268853192932,0.26315987121573325,0.3048197133359647,0.3339199736906302,0.3627022195340137,0.3916463063520972
COG,log_mmr,0.00442277584801493,0.7411443430728885,-0.1939794958911918,-0.6314842657930496,-0.0009402330181327301,0.00768687513818378,-0.003660602359571108,0.0011668954765928774,0.002017558438073941,-0.007509208451342175,-0.002501144395758992,0.0038780601468362264,-0.07364238077985519,-0.06817545727648966,-0.17572011188465542,-0.4583800336237669,-0.6560960307598851,-0.8071449831181337,-0.9857439125714533,-1.000883228261876,-0.9975890852099729,-1.0914674344444082
COG,log_u5mr,0.007770034966540734,0.03500587589490243,0.008342583838731654,0.014158614324533848,-0.007202789873357318,0.005130406875834659,0.00375916058003245,0.005798899292953408,0.008652372089413163,-0.015208091661744305,-0.006515441880067918,0.0029029625289132,0.010991477817928086,-0.00766333568591282,-0.00040449947415144294,0.030446692697062794,0.06135244602577439,0.040671281343027665,-0.0044442809270699435,-0.009141602899040535,-0.04221777950061245,0.06199574384833273
