outcome,estimator,year,actual_log,synthetic_log,actual,synthetic,gap_log
log_mmr,synth,2002,7.307872780763706,7.061208687090629,1491.9999999999995,1165.853466538446,0.2466640936730764
log_mmr,synth,2003,7.267525427828172,7.029192685394087,1433.0000000000002,1129.1186881231686,0.23833274243408464
log_mmr,synth,2004,7.2196420401307355,7.007999950296953,1366.0000000000002,1105.4413547799725,0.21164208983378252
log_mmr,synth,2005,7.165493475060845,7.009916686409184,1293.9999999999995,1107.5622260706107,0.15557678865166125
log_mmr,synth,2006,7.0630481633881725,6.999843266215662,1168.0000000000002,1096.4612924324636,0.06320489717251032
log_mmr,synth,2007,7.0317412587631285,6.998864945915863,1132.0000000000002,1095.3891266384287,0.03287631284726533
log_mmr,synth,2008,6.996681488176539,7.016175542407682,1093.0000000000005,1114.5160373042545,-0.019494054231143032
log_mmr,synth,2009,6.960347729101308,7.015260650801102,1054.0000000000002,1113.4968422339252,-0.05491292169979456
log_mmr,synth,2010,6.925595197110468,7.00225261825316,1017.9999999999999,1099.1062387052816,-0.07665742114269225
log_mmr,synth,2011,6.874198495453294,6.9916395398507785,966.9999999999999,1087.5030198698269,-0.11744104439748426
log_mmr,synth,2012,6.818924065275521,6.994112860149869,914.9999999999997,1090.1960922065682,-0.17518879487434802
log_mmr,synth,2013,6.7357800142423265,6.9871268434864975,841.9999999999999,1082.6065054967771,-0.25134682924417096
log_mmr,synth,2014,6.710523109452428,6.968848085903877,820.9999999999997,1062.9975631411241,-0.2583249764514495
log_mmr,synth,2015,6.593044534142437,6.952776153653135,730.0,1046.049695624053,-0.3597316195106979
log_mmr,synth,2016,6.450470422144176,6.9252039261963345,632.9999999999998,1017.6017641235503,-0.47473350405215875
log_mmr,synth,2017,6.359573868672378,6.892337248939623,578.0000000000001,984.7002192787974,-0.5327633802672453
log_mmr,synth,2018,6.19644412779452,6.849027682912151,490.9999999999999,942.9636011653051,-0.6525835551176309
log_mmr,synth,2019,6.139884552226255,6.81218262828285,464.0,908.8523304977358,-0.6722980760565944
log_mmr,augsynth,2002,7.307872780763706,7.303912436139915,1491.9999999999995,1486.1028509004032,0.003960344623791023
log_mmr,augsynth,2003,7.267525427828172,7.254455138810341,1433.0000000000002,1414.3921457553029,0.013070289017830916
log_mmr,augsynth,2004,7.2196420401307355,7.207055842552323,1366.0000000000002,1348.9149972570153,0.01258619757841295
log_mmr,augsynth,2005,7.165493475060845,7.174651253427877,1293.9999999999995,1305.9045918156316,-0.009157778367031355
log_mmr,augsynth,2006,7.0630481633881725,7.063592398253622,1168.0000000000002,1168.635839330117,-0.0005442348654494111
log_mmr,augsynth,2007,7.0317412587631285,7.020454920188718,1132.0000000000002,1119.2956921511002,0.011286338574410415
log_mmr,augsynth,2008,6.996681488176539,7.003020437389458,1093.0000000000005,1099.9504775780886,-0.0063389492129193314
log_mmr,augsynth,2009,6.960347729101308,6.96733993957678,1054.0000000000002,1061.3956155598762,-0.006992210475472049
log_mmr,augsynth,2010,6.925595197110468,6.9450711012098205,1017.9999999999999,1038.0207991167583,-0.019475904099352626
log_mmr,augsynth,2011,6.874198495453294,6.948634991381146,966.9999999999999,1041.7267911921488,-0.07443649592785206
