spec,estimate,se,ci_low,ci_high,pvalue,n_treated,n_control
main,-0.061783315076869405,0.022782047888560742,-0.10808200680941031,-0.0154846233443285,0.010415745074333405,9,26
timing_plus1,-0.06253329922644126,0.025063762799597197,-0.11346899355876436,-0.011597604894118152,0.017615518058472057,9,26
timing_minus1,-0.0522327655449847,0.019860823485894644,-0.09259481502472248,-0.011870716065246908,0.012735565020317807,9,26
broad_coding,-0.0712474531748317,0.02816548243907095,-0.12821751876279536,-0.014277387586868057,0.01557173082874086,14,26
drop_ebola,-0.06788479857461346,0.025253717125535372,-0.11939009422363411,-0.016379502925592822,0.011455419127979649,7,25
