outcome,estimator,estimate,se,ci_low,ci_high,pvalue,n_treated,n_control
log_u5mr,lpdid_att,-0.06178331507686939,0.022782047888560735,-0.10808200680941027,-0.015484623344328506,0.010415745074333405,9,26
log_nmr,lpdid_att,-0.018668097044189032,0.01725282643720741,-0.05373005884141538,0.016393864753037318,0.28685343770548144,9,26
dtp3,lpdid_att,2.743421119620638,2.6421629458912093,-2.6261000198895013,8.112942259130778,0.30644746867893646,9,26
mcv1,lpdid_att,1.5999490883172227,2.6362677172019016,-3.757591505057899,6.957489681692344,0.547949395238019,9,26
